Symbol,Price (GBP),Source
GNO,212.11686133321018,CoinMarketCap
ZK,0.1469335848762486,CoinMarketCap
NOT,0.00502594304532874,CoinMarketCap
SNX,1.5297766253716871,CoinMarketCap
GRASS,1.9718697379375079,CoinMarketCap
SUPER,1.070781876996637,CoinMarketCap
PYUSD,0.798294314848115,CoinMarketCap
PNUT,0.5361671720806221,CoinMarketCap
POPCAT,0.5879395502544158,CoinMarketCap
PAXG,2099.572534160675,CoinMarketCap
LUNC,8.620581656444926e-05,CoinMarketCap
AMP,0.005939021710221272,CoinMarketCap
ORDI,21.540669995083192,CoinMarketCap
AXL,0.5168322024404515,CoinMarketCap
1INCH,0.30558821485315985,CoinMarketCap
KAVA,0.35579891617667087,CoinMarketCap
TUSD,0.7977107395307631,CoinMarketCap
ROSE,0.06405833994553758,CoinMarketCap
NFT,4.1663918507509e-07,CoinMarketCap
MEW,0.005123353622749543,CoinMarketCap
LPT,11.977858815331281,CoinMarketCap
TEL,0.003984900442484367,CoinMarketCap
ZRO,3.9891979343507415,CoinMarketCap
TWT,0.9718172456939845,CoinMarketCap
KSM,26.32509079856586,CoinMarketCap
BLUR,0.19180746162493884,CoinMarketCap
CVX,3.5979286405073965,CoinMarketCap
ZRX,0.36447435106661513,CoinMarketCap
ZIL,0.016055415775671215,CoinMarketCap
ETHFI,1.7360063628272857,CoinMarketCap
GLM,0.2921155424845412,CoinMarketCap
JST,0.031433056336155694,CoinMarketCap
BOME,0.0051117192085505005,CoinMarketCap
HOT,0.001849790063003961,CoinMarketCap
WOO,0.1658160198191342,CoinMarketCap
SUSHI,1.0834239076596779,CoinMarketCap
WEMIX,0.6154597436312053,CoinMarketCap
BAT,0.18565924451805038,CoinMarketCap
GMT,0.12150276484984608,CoinMarketCap
ENJ,0.16680930191831853,CoinMarketCap
ANKR,0.02682991245590328,CoinMarketCap
CELO,0.5131739929687696,CoinMarketCap
ELF,0.3518151687483415,CoinMarketCap
ME,2.4774864025642045,CoinMarketCap
IOTX,0.030592751643095044,CoinMarketCap
GOAT,0.4006559308239651,CoinMarketCap
ONE,0.021008473242174093,CoinMarketCap
MEME,0.008512244484709178,CoinMarketCap
ETHW,2.625768434920241,CoinMarketCap
AEVO,0.28824431288994423,CoinMarketCap
FXS,2.799364841395548,CoinMarketCap
MASK,2.407175496316966,CoinMarketCap
YFI,6389.616615698455,CoinMarketCap
ONT,0.18324382056783242,CoinMarketCap
DYM,1.0544158209031516,CoinMarketCap
G,0.023937284119276033,CoinMarketCap
XYO,0.01515030392039314,CoinMarketCap
BICO,0.23940627614553786,CoinMarketCap
SKL,0.03791867325303041,CoinMarketCap
LRC,0.15502312427974138,CoinMarketCap
ACT,0.22423480159424083,CoinMarketCap
XEM,0.019012172025206043,CoinMarketCap
APU,0.00040365976949630094,CoinMarketCap
DOGS,0.00041799387515506985,CoinMarketCap
BLAST,0.006956518798660801,CoinMarketCap
METIS,33.756095783474635,CoinMarketCap
WAVES,1.2107782781914025,CoinMarketCap
PHA,0.3137727639393151,CoinMarketCap
RPL,9.063143317167892,CoinMarketCap
FLUX,0.48757264254115107,CoinMarketCap
COW,0.7130914573442451,CoinMarketCap
UMA,2.1160252313343086,CoinMarketCap
POLY,0.056881686898257434,CoinMarketCap
DGB,0.008337166829093325,CoinMarketCap
XAI,0.1794087462406854,CoinMarketCap
BAND,1.124756331248647,CoinMarketCap
STORJ,0.37982827658546975,CoinMarketCap
ILV,30.116976459888384,CoinMarketCap
COTI,0.09428979066516645,CoinMarketCap
PEOPLE,0.03675515413422897,CoinMarketCap
CETUS,0.23009970631307428,CoinMarketCap
ACH,0.020315858352007304,CoinMarketCap
AUDIO,0.12250634002429968,CoinMarketCap
YGG,0.3906943504811225,CoinMarketCap
CAT,2.727283382774733e-05,CoinMarketCap
CHR,0.18544864039323702,CoinMarketCap
ORCA,3.127465359043251,CoinMarketCap
SNT,0.03208475035586508,CoinMarketCap
XNO,1.0046808843326103,CoinMarketCap
AI,0.449756189010115,CoinMarketCap
CVC,0.16978896126903575,CoinMarketCap
PIXEL,0.12323014979920752,CoinMarketCap
BB,0.3337681638134525,CoinMarketCap
POWR,0.2184750630918788,CoinMarketCap
IQ,0.0056200646115827915,CoinMarketCap
XVS,7.319303295403328,CoinMarketCap
AGLD,1.947476845924966,CoinMarketCap
BAL,1.9954134820834373,CoinMarketCap
LQTY,1.443916394599476,CoinMarketCap
IOST,0.005083903773407987,CoinMarketCap
RLC,1.7430770466036614,CoinMarketCap
ACX,0.4509024688121854,CoinMarketCap
C98,0.13390143785839262,CoinMarketCap
EURS,0.8297652072663202,CoinMarketCap
DEGEN,0.007545297632652668,CoinMarketCap
JOE,0.29163913315458345,CoinMarketCap
MAGIC,0.3380998773785558,CoinMarketCap
BNX,0.31997674194878317,CoinMarketCap
CELR,0.015524137426143702,CoinMarketCap
DENT,0.0010623376486107725,CoinMarketCap
API3,1.2679572785574047,CoinMarketCap
CHILLGUY,0.12630126348097204,CoinMarketCap
SYN,0.5044688110432072,CoinMarketCap
ORBS,0.02155924493567224,CoinMarketCap
NMR,12.00078130858397,CoinMarketCap
KNC,0.4218563134531491,CoinMarketCap
ANT,3.2626332435679224,CoinMarketCap
PORTAL,0.24275784771510026,CoinMarketCap
SPELL,0.0005880651955173876,CoinMarketCap
PYR,2.412822630426336,CoinMarketCap
OXT,0.08981969773808841,CoinMarketCap
HBTC,63095.509002358,CoinMarketCap
NCT,0.035125647264088004,CoinMarketCap
USTC,0.015524061617492231,CoinMarketCap
USDP,0.798791330341924,CoinMarketCap
AUCTION,14.568755894738064,CoinMarketCap
WIN,7.868269679571403e-05,CoinMarketCap
LUMIA,1.0481088802118959,CoinMarketCap
EURC,0.8278859284184245,CoinMarketCap
ACA,0.08404498172413932,CoinMarketCap
HIGH,1.120386739530576,CoinMarketCap
TRU,0.067849994746217,CoinMarketCap
THE,1.3464131999567355,CoinMarketCap
STG,0.29483948096079143,CoinMarketCap
MAV,0.1577945871327835,CoinMarketCap
RARE,0.08918888338042395,CoinMarketCap
LOOM,0.04556493027210907,CoinMarketCap
DIA,0.5596783463839627,CoinMarketCap
QI,0.012678089116233148,CoinMarketCap
BNT,0.5236856109549193,CoinMarketCap
MONKY,9.50141694548539e-06,CoinMarketCap
FORTH,3.983177663503192,CoinMarketCap
OGN,0.09420249526132715,CoinMarketCap
DPI,109.87695672886467,CoinMarketCap
ALICE,0.8827439423587636,CoinMarketCap
PHB,1.266642752956168,CoinMarketCap
MBOX,0.15211054694738368,CoinMarketCap
TLM,0.010643372252796426,CoinMarketCap
BAKE,0.1989926897605906,CoinMarketCap
NKN,0.07282943004863665,CoinMarketCap
ALPHA,0.06383867437673123,CoinMarketCap
BUSD,0.7997831703016051,CoinMarketCap
LUSD,0.7911650764688545,CoinMarketCap
GUSD,0.7985969411406134,CoinMarketCap
CTXC,0.19752337451397317,CoinMarketCap
GTC,0.5936257463436855,CoinMarketCap
RARI,1.872832165435164,CoinMarketCap
SWEAT,0.005383631234840536,CoinMarketCap
ERN,2.0537540853938547,CoinMarketCap
LTO,0.11879668241154512,CoinMarketCap
UTK,0.07230134936497995,CoinMarketCap
FUN,0.003738402896446186,CoinMarketCap
GHST,0.8240858530035201,CoinMarketCap
DATA,0.03909760174555766,CoinMarketCap
PERP,0.6234314868859672,CoinMarketCap
POLS,0.3128010964475845,CoinMarketCap
OL,0.1718694037791937,CoinMarketCap
OMG,0.25790577486563127,CoinMarketCap
XSGD,0.5864540048199852,CoinMarketCap
VRA,0.0029567628032423116,CoinMarketCap
NULS,0.31496570445720595,CoinMarketCap
UOS,0.07446996293618612,CoinMarketCap
CUSD,0.7987161317583441,CoinMarketCap
MEMEFI,0.0038882400592186277,CoinMarketCap
DBR,0.029319549851968926,CoinMarketCap
LOKA,0.17149535691701465,CoinMarketCap
VOXEL,0.14046970371019415,CoinMarketCap
EURI,0.8271561447816123,CoinMarketCap
WXT,0.0027699935761141947,CoinMarketCap
MDT,0.04669142429765652,CoinMarketCap
KIN,9.76652266657166e-06,CoinMarketCap
QUICK,33.942837061023894,CoinMarketCap
REN,0.024877839813104794,CoinMarketCap
PDA,0.03523788053732075,CoinMarketCap
VIDT,0.02533900861358352,CoinMarketCap
SHPING,0.006939967184941583,CoinMarketCap
REEF,0.0008208021765667448,CoinMarketCap
LIME,0.035502863838196626,CoinMarketCap
FOX,0.04420427181993087,CoinMarketCap
SANTOS,2.55928958694824,CoinMarketCap
IDRT,4.892904751841737e-05,CoinMarketCap
DFI,0.014301673108492513,CoinMarketCap
BAR,1.751405884839125,CoinMarketCap
AST,0.08420552865474383,CoinMarketCap
LAZIO,1.1970188472687266,CoinMarketCap
CITY,1.493666774137522,CoinMarketCap
GAL,1.5461173807328379,CoinMarketCap
PORTO,1.1992736780126587,CoinMarketCap
GYEN,0.005002928370396406,CoinMarketCap
YFII,313.42304284129705,CoinMarketCap
SWAP,0.09241485507143254,CoinMarketCap
ATM,1.6506450413604996,CoinMarketCap
ASR,1.543288894009652,CoinMarketCap
JUV,1.2461875315626634,CoinMarketCap
ACM,1.1906595891863305,CoinMarketCap
LIKE,0.022525634330926185,CoinMarketCap
HUSD,0.030616191227747128,CoinMarketCap
WRX,0.020890935790359482,CoinMarketCap
EFI,0.07729892219652033,CoinMarketCap
SRM,0.025249982548884047,CoinMarketCap
BAX,7.828843439803993e-05,CoinMarketCap
CRPT,0.07356176526812636,CoinMarketCap
OUSD,0.7983939159504302,CoinMarketCap
KEY,0.0007523267011461996,CoinMarketCap
REP,0.45709295665585603,CoinMarketCap
CEL,0.15316267675020293,CoinMarketCap
SYLO,0.0010393746507855904,CoinMarketCap
CEUR,0.8288338806632226,CoinMarketCap
VGX,0.011250781197598777,CoinMarketCap
PPT,0.0661830219604044,CoinMarketCap
STORM,0.023493926423909104,CoinMarketCap
COVAL,0.0013492830354606329,CoinMarketCap
MIR,0.02021323222162748,CoinMarketCap
ROOBEE,0.00037185007034831584,CoinMarketCap
FREE,1.2177892590031e-07,CoinMarketCap
DFYN,0.006326104083302343,CoinMarketCap
XTP,0.0008017086958340419,CoinMarketCap
MARS4,0.0004110068761648156,CoinMarketCap
MCO2,0.2987732254295431,CoinMarketCap
ELAND,0.028331237752373183,CoinMarketCap
SALT,0.00490378836300423,CoinMarketCap
PXP,0.02928912637680814,CoinMarketCap
BFT,0.016051468287547683,CoinMarketCap
INSUR,0.011204980458908973,CoinMarketCap
EDG,7.11248653625982e-05,CoinMarketCap
PNT,0.0036135885401485305,CoinMarketCap
YLD,0.0008691594336891824,CoinMarketCap
MITH,0.00014129289397143892,CoinMarketCap
RFR,4.940980304236296e-05,CoinMarketCap
BIRD,0.6634088123056361,CoinMarketCap
NEU,0.05213626530171427,CoinMarketCap
PTP,8.833737527372645e-05,CoinMarketCap
SGB,0.006206436590413446,CoinMarketCap
COCA,0.16048068513396307,CoinMarketCap
UCO,0.016376944158939127,CoinMarketCap
CRE,1.68266271058855e-06,CoinMarketCap
APEPE,3.22405263170437e-06,CoinMarketCap
HEX,0.012407363327868084,CoinMarketCap
WPAY,0.08932157756371487,CoinMarketCap
TKX,22.259096437796025,CoinMarketCap
BNTY,0.009093012485465884,CoinMarketCap
EVMOS,0.01844858144016289,CoinMarketCap
XUSD,0.7956307515115788,CoinMarketCap
BRZ,0.12800578723345188,CoinMarketCap
DAR,9.409248915167303e-05,CoinMarketCap
AGIX,0.43488237704890337,CoinMarketCap
B2M,0.014450627073613926,CoinMarketCap
MIMATIC,0.44416684730419975,CoinMarketCap
SFM,4.045291997052173e-05,CoinMarketCap
LEND,0.04820852830625714,CoinMarketCap
SBF,0.00280513349953266,CoinMarketCap
BTSG,0.009934956521946014,CoinMarketCap
SHEESHA,4.345957793175063,CoinMarketCap
HXRO,0.006304107289937661,CoinMarketCap
EUROE,0.8302773514559864,CoinMarketCap
LBA,0.00021723084394176237,CoinMarketCap
BNK,0.0696207411041895,CoinMarketCap
MUSD,0.018462263609268684,CoinMarketCap
GNT,7.2635585424e-10,CoinMarketCap
MDA,0.009628800001054831,CoinMarketCap
BEST,0.6609355444800025,CoinMarketCap
NPXS,0.003782998193546762,CoinMarketCap
ATL,0.0023555431455925136,CoinMarketCap
USDE,0.7947768926159777,CoinMarketCap
CPAY,0.05898685445981476,CoinMarketCap
STETH,,Coingecko
TOK,0.00014210637328168854,Coingecko
LFI,,Coingecko
WXRP,1.6689568210987686,Coingecko
CDAI,0.019266803131609105,Coingecko
CUSDC,0.01954462876712463,Coingecko
CETH,1807.861566868021,Coingecko
OCEAN,0.43692128376467915,Coingecko
BRL,0.008404087975576315,Coingecko
CNFI,0.07230140476676344,Coingecko
FTM,0.5423886967570599,Coingecko
NXUSD,,Coingecko
ADAI,0.7989208722741601,Coingecko
